item;codigo_emop;descricao;unid;qtd_contratada;preco_sem_bdi;preco_com_bdi;secao
A.2;20069;MAO-DE-OBRA DE ENGENHEIRO OU ARQUITETO COORDENADOR DE OBRAS,INCLUSIVE ENCARGOS SOCIAIS;H;1056;258.2307;286.91;ADMINISTRAÇÃO LOCAL
A.4;20155;MAO DE OBRA DE ENCARREGADO DE OBRA, INCLUSIVE ENCARGOS SOCIAIS;H;2112;40.7853;45.31;ADMINISTRAÇÃO LOCAL
A.5;20143;MAO-DE-OBRA DE TECNICO DE EDIFICACOES, INCLUSIVE ENCARGOS SOCIAIS;H;2112;40.7843;45.31;ADMINISTRAÇÃO LOCAL
A.7;20146;MAO-DE-OBRA DE TECNICO DE SEGURANCA DO TRABALHO, INCLUSIVE ENCARGOS SOCIAIS;H;2112;40.7843;45.31;ADMINISTRAÇÃO LOCAL
A.9;20008;MAO-DE-OBRA DE ALMOXARIFE, INCLUSIVE ENCARGOS SOCIAIS;H;2112;28.9868;32.2;ADMINISTRAÇÃO LOCAL
A.12;19.004.0001-C;CAMINHAO COM CARROCERIA FIXA, NO TOCO, CAPACICADE DE 3, 5T, INCLUSIVE MOTORISTA;H;2112;125.3491;139.26;ADMINISTRAÇÃO LOCAL
A.15;19.004.0040-C;VEICULO DE PASSEIO,5 PASSAGEIROS,4 PORTAS,MOTOR BICOMBUSTIVEL (GASOLINA E ALCOOL)DE 1,6 LITROS,COM AR CONDICIONADO,DIRECAO HIDRAULICA E VIDROS DIANTEIROS ELETRICOS,INCLUSIVE MOTORISTA;H;2112;70.1016;77.88;ADMINISTRAÇÃO LOCAL
A.16;19.004.0046-C;CAMIONETE TIPO PICK-UP,COM CABINE SIMPLES E CACAMBA,TIPO LEVE,MOTOR BICOMBUSTIVEL (GASOLINA E ALCOOL) DE 1,6 LITROS,INCLUSIVE MOTORISTA;H;6336;84.5434;93.93;ADMINISTRAÇÃO LOCAL
1.1;20039;MAO-DE-OBRA DE BOMBEIRO HIDRAULICO DA CONSTRUCAO CIVIL, INCLUSIVE ENCARGOS SOCIAIS;H;6336;24.5018;27.22;ATENDIMENTO EMERGENCIAL E PERIODICO
1.2;20060;MAO-DE-OBRA DE ELETRICISTA DA CONSTRUCAO CIVIL, INCLUSIVE ENCARGOS SOCIAIS;H;12672;24.5018;27.22;ATENDIMENTO EMERGENCIAL E PERIODICO
1.3;20115;MAO-DE-OBRA DE PEDREIRO, INCLUSIVE ENCARGOS SOCIAIS;H;12672;24.5018;27.22;ATENDIMENTO EMERGENCIAL E PERIODICO
1.4;20131;MAO-DE-OBRA DE SERRALHEIRO DA CONSTRUCAO CIVIL, INCLUSIVE ENCARGOS SOCIAIS;H;2112;26.3835;29.31;ATENDIMENTO EMERGENCIAL E PERIODICO
1.5;20132;MAO-DE-OBRA DE SERVENTE DA CONSTRUCAO CIVIL, INCLUSIVE ENCARGOS SOCIAIS;H;38016;17.7158;19.67;ATENDIMENTO EMERGENCIAL E PERIODICO
3.1;03.001.0001-B;ESCAVACAO MANUAL DE VALA/CAVA EM MATERIAL DE 1ª CATEGORIA (A(AREIA, ARGILA OU PICARRA), ATE 1, 50M DE PROFUNDIDADE, EXCLUSIVE ESCORAMENTO E ESGOTAMENTO;M3;20;62.0406;68.93;03 - MOVIMENTO DE TERRA
3.2;03.010.0024-A;MATERIAL DE 1ª CATEGORIA PARA ATERROS, COMPREENDENDO:ESCAVACAO, CARGA, TRANSPORTE A 5KM EM CAMINHAO BASCULANTE E DESCARGA, CONSIDERANDO O VOLUME NECESSARIO A EXECUCAO DE 1, 00M3 DE MATERIAL COMPACTADO;M3;20;22.5241;25.02;03 - MOVIMENTO DE TERRA
3.3;03.009.0080-A;COMPACTACAO DE MATERIAL DE 1ªCATEGORIA, INCLUSIVE DESCARGA DECAMINHAO BASCULANTE, MOVIMENTACAO A 1 TIRO DE PA, ESPALHAMENTO E SOCAMENTO MANUAL EM CAMADAS DE 30CM DE MATERIAL APILOADO;M3;20;47.7687;53.06;03 - MOVIMENTO DE TERRA
3.4;03.011.0015-B;REATERRO DE VALA/CAVA COM MATERIAL DE BOA QUALIDADE, UTILIZANDO VIBRO COMPACTADOR PORTATIL, EXCLUSIVE MATERIAL;M3;20;24.121;26.79;03 - MOVIMENTO DE TERRA
4.2;04.005.0120-A;TRANSPORTE DE CARGA DE QUALQUER NATUREZA,EXCLUSIVE AS DESPESAS DE CARGA E DESCARGA,TANTO DE ESPERA DO CAMINHAO COMO DO SERVENTE OU EQUIPAMENTO AUXILIAR,A VELOCIDADE MEDIA DE 50KM/H,EM CAMINHAO BASCULANTE A OLEO DIESEL,COM CAPACIDADE UTIL DE8T;T X KM;200000;0.7849;0.86;04 - TRANSPORTES
4.3;04.006.0013-B;CARGA E DESCARGA MANUAL DE PECAS DE PESO REDUZIDO:TIJOLOS, TELHAS, CIMENTO E AGREGADOS EM SACOS, EM CAMINHAO DE CARROCERIAFIXA A OLEO DIESEL, COM CAPACIDADE UTIL DE 7, 5T, INCLUSIVE O TEMPO DE CARGA, DESCARGA E MANOBRA;T;120;53.5338;59.47;04 - TRANSPORTES
