medicao;item;codigo_emop;unid;escola;os_ref;expressao;quantidade
MED01;A.1;20069;H;;;1 x 88 x 1;88
MED01;A.4;20155;H;;;1 x 176 x 1;176
MED01;A.5;20143;H;;;1 x 176 x 1;176
MED01;A.7;20146;H;;;1 x 176 x 1;176
MED01;A.9;20008;H;;;1 x 176 x 1;176
MED01;A.12;19.004.0001-C;H;;;1 x 176 x 1;176
MED01;A.15;19.004.0040-C;H;;;1 x 176 x 1;176
MED01;A.16;19.004.0046-C;H;;;3 x 176 x 1;528
MED01;1.1;20039;H;;;3 x 176 x 1;528
MED01;1.2;20060;H;;;6 x 176 x 1;1056
MED01;1.3;20115;H;;;6 x 176 x 1;1056
MED01;1.4;20131;H;;;1 x 176 x 1;176
MED01;1.5;20132;H;;;18 x 176 x 1;3168
MED01;3.1;03.001.0001-B;M3;;;;0
MED01;3.2;03.010.0024-A;M3;;;;0
MED01;3.3;03.009.0080-A;M3;;;;0
MED01;3.4;03.011.0015-B;M3;;;;0
MED01;4.2;04.005.0120-A;T X KM;ROCHA LEÃO;O.S N° 06;;675
MED01;4.2;04.005.0120-A;T X KM;E.M AMÉRICA ABDALLA;O.S N°14;;156.24
MED01;4.3;04.006.0013-B;T;ROCHA LEÃO;O.S N°03;;37.38
MED01;4.3;04.006.0013-B;T;E.M. AMÉRICA ABDALLA;O.S N° 11;;54.06
MED01;4.4;04.006.0008-B;T;;;;0
MED01;4.6;04.020.0122-A;M2XKM;ROCHA LEÃO;O.S N°06;105 x 25;2625
MED01;4.7;04.021.0010-A;M2;ROCHA LEÃO;O.S N°06;30 x 1.2;36
MED01;5.1;05.001.0001-A;M3;;;;0
MED01;5.2;05.001.0002-B;M3;;;;0
MED01;5.3;05.001.0008-A;M2;;;;0
MED01;5.4;05.001.0009-A;M2;;;;0
MED01;5.5;05.001.0011-A;M2;;;;0
MED01;5.6;05.001.0014-A;M2;;;;0
MED01;5.7;05.001.0015-A;M2;;;;0
MED01;5.8;05.001.0021-A;M2;;;;0
MED01;5.9;05.001.0023-A;M3;;;;0
MED01;5.10;05.001.0024-A;M3;;;;0
MED01;5.12;05.001.0040-A;M2;;;;0
MED01;5.13;05.001.0041-A;M2;;;;0
MED01;5.14;05.001.0043-A;M2;ROCHA LEÃO;O.S N° 06;15 x 20;300
MED01;5.16;05.001.0055-A;M2;;;;0
MED01;5.17;05.001.0063-A;M2;;;;0
MED01;5.18;05.001.0071-A;M;;;;0
MED01;5.19;05.001.0074-A;M2;E.M AMÉRICA ABDALLA;O.S N°14;30 x 3;90
MED01;5.20;05.001.0134-A;UN;;;;0
MED01;5.23;05.001.0144-A;UN;ROCHA LEÃO;O.S N°04;;20
MED01;5.23;05.001.0144-A;UN;E.M AMÉRICA ABDALLA;O.S N°12;;30
MED01;5.24;05.001.0145-A;UN;;;;0
MED01;5.25;05.001.0146-A;M;;;;0
MED01;5.29;05.005.0012-B;M2;ROCHA LEÃO;O.S N°06;30 x 1.2;36
MED01;5.30;05.006.0001-B;M2XMES;ROCHA LEÃO;O.S N°06;30 x 3.5 x 2.3;69
MED01;5.31;05.008.0001-A;M2;ROCHA LEÃO;O.S N°06;30 x 3.5;105
MED01;6.1;06.001.0242-A;M;;;;0
MED01;6.2;06.001.0243-A;M;;;;0
MED01;6.10;06.272.0002-A;M;;;;0
MED01;6.11;06.272.0003-A;M;;;;0
MED01;6.14;06.272.0021-A;UN;;;;0
MED01;6.15;06.272.0022-A;UN;;;;0
MED01;6.16;06.272.0026-A;UN;;;;0
MED01;6.17;06.272.0027-A;UN;;;;0
MED01;6.18;06.272.0029-A;UN;;;;0
MED01;6.19;06.272.0030-A;UN;;;;0
MED01;6.20;06.272.0032-A;UN;;;;0
MED01;6.21;06.272.0035-A;UN;;;;0
MED01;6.22;06.272.0038-A;UN;;;;0
MED01;6.23;06.272.0039-A;UN;;;;0
MED01;8.5;08.020.0022-A;M2;;;;0
MED01;8.6;08.027.0037-A;M;;;;0
MED01;9.3;09.015.0040-A;M2;;;;0
MED01;9.4;09.015.0050-A;M2;;;;0
MED01;9.5;09.015.0200-A;M2;;;;0
MED01;11.1;11.003.0002-A;M3;;;;0
MED01;11.2;11.004.0022-B;M2;;;;0
MED01;11.3;11.013.0075-A;M3;;;;0
MED01;11.6;11.023.0002-A;KG;;;;0
MED01;11.7;11.025.0006-A;M3;;;;0
MED01;11.8;11.025.0012-A;M3;;;;0
MED01;11.9;11.030.0080-A;M2;;;;0
MED01;11.10;11.050.0001-B;M3XMES;;;;0
MED01;11.11;11.055.0001-B;M3;;;;0
