codigo_emop;unid;n_linhas;n_os_distintas;n_escolas_distintas;medicoes_em_que_aparece;exemplo1;exemplo2
17.018.0031-A;M2;1562;290;69;MED01,MED02,MED03,MED04,MED05,MED06,MED07,MED08,MED09;E.M. ELSON PINHEIRO |  | 3.46 x 3 x 25 = 259.5;E.M. ELSON PINHEIRO |  | 70 x 3 x 1 = 210
17.017.0320-A;M2;335;73;31;MED01,MED02,MED03,MED04,MED05,MED06,MED07,MED08,MED09;ROCHA LEÃO | O.S N° 03 | 142 x 2 x 2 = 568;E.M. AMÉRICA ABDALLA |  | 138.83 x 2 x 2 = 555.32
14.007.0036-A;UN;214;161;118;MED01,MED02,MED03,MED04,MED05,MED06,MED07,MED08,MED09;E.M. Padre José Dilson Dórea (O.S 146) | O.S 146 | 1 = 1;E.M. Prof° Neli Aparecida Tâmara Luiz (O.S 249) | O.S 249 | 1 = 1
15.020.0173-A;UN;171;146;103;MED01,MED02,MED03,MED04,MED05,MED06,MED07,MED08,MED09;E.M. Nadir da Silva Salvador (O.S 53) | O.S 53 | 10 = 10;E.M. João Batista Gomes da Cruz (O.S 227) | O.S 227 | 10 = 10
18.013.0127-A;UN;166;148;106;MED01,MED02,MED03,MED04,MED05,MED06,MED07,MED08,MED09;E.M. Profº América Abdalla (O.S 14) | O.S 14 | 5 = 5;E.M. Ernestina Jorge Pereira (O.S 236) | O.S 236 | 2 = 2
17.017.0010-A;M2;165;72;44;MED01,MED02,MED03,MED04,MED05,MED06,MED07,MED08,MED09;E. M. João Bento Duarte Neto | O.S 45 | 3.65 x 3 = 10.95;E. M. João Bento Duarte Neto | O.S 45 | 2.65 x 3 = 7.95
18.019.0010-A;UN;150;128;98;MED01,MED02,MED03,MED04,MED05,MED06,MED07,MED08,MED09;E.M. Profº América Abdalla (O.S 14) | O.S 14 | 5 = 5;E.M. Ernestina Jorge Pereira (O.S 236) | O.S 236 | 2 = 2
18.009.0058-A;UN;139;114;104;MED01,MED02,MED03,MED04,MED05,MED06,MED07,MED08,MED09;E.M. Profº América Abdalla (O.S 105) | O.S 105 | 2 = 2;E.M. Prof° Neli Aparecida Tâmara Luiz (O.S 135) | O.S 135 | 3 = 3
05.001.0144-A;UN;123;77;95;MED01,MED02,MED03,MED04,MED05,MED06,MED07,MED08,MED09;E.M. Mônica de Andrade Ribeiro (O.S 300) | O.S 300 | 5 = 5;E.M. Fany Batista Esteves (O.S 311) | O.S 311 | 20 = 20
17.017.0110-A;M2;120;39;55;MED01,MED02,MED03,MED04,MED05,MED06,MED07,MED08,MED09;ROCHA LEÃO | O.S N° 03 | 0.6 x 2.1 x 7 x 2 = 17.64;ROCHA LEÃO | O.S N° 03 | 0.7 x 2.1 x 3 x 2 = 8.82
