item;codigo_emop;descricao;unid;qtd_contratada;acum_soma_periodos;acum_oficial_med09;diferenca;saldo_oficial;pct_oficial;preco_bdi;saldo_oficial_rs
A.2;20069;MAO-DE-OBRA DE ENGENHEIRO OU ARQUITETO COORDENADOR DE OBRAS,INCLUSIVE ENCARGOS SOCIAIS;H;1056;792;792;0;264;0.75;286.91;75744.24
A.4;20155;MAO DE OBRA DE ENCARREGADO DE OBRA, INCLUSIVE ENCARGOS SOCIAIS;H;2112;1872;1584;288;528;0.75;45.31;23923.68
A.5;20143;MAO-DE-OBRA DE TECNICO DE EDIFICACOES, INCLUSIVE ENCARGOS SOCIAIS;H;2112;1632;1584;48;528;0.75;45.31;23923.68
A.7;20146;MAO-DE-OBRA DE TECNICO DE SEGURANCA DO TRABALHO, INCLUSIVE ENCARGOS SOCIAIS;H;2112;1632;1584;48;528;0.75;45.31;23923.68
A.9;20008;MAO-DE-OBRA DE ALMOXARIFE, INCLUSIVE ENCARGOS SOCIAIS;H;2112;1808;1584;224;528;0.75;32.2;17001.6
A.12;19.004.0001-C;CAMINHAO COM CARROCERIA FIXA, NO TOCO, CAPACICADE DE 3, 5T, INCLUSIVE MOTORISTA;H;2112;2928;1760;1168;352;0.8333;139.26;49019.52
A.15;19.004.0040-C;VEICULO DE PASSEIO,5 PASSAGEIROS,4 PORTAS,MOTOR BICOMBUSTIVEL (GASOLINA E ALCOOL)DE 1,6 LITROS,COM AR CONDICIONADO,DIRECAO HIDRAULICA E VIDROS DIANTEIROS ELETRICOS,INCLUSIVE MOTORISTA;H;2112;5504;2112;3392;0;1;77.88;0
A.16;19.004.0046-C;CAMIONETE TIPO PICK-UP,COM CABINE SIMPLES E CACAMBA,TIPO LEVE,MOTOR BICOMBUSTIVEL (GASOLINA E ALCOOL) DE 1,6 LITROS,INCLUSIVE MOTORISTA;H;6336;4920;4752;168;1584;0.75;93.93;148785.12
1.1;20039;MAO-DE-OBRA DE BOMBEIRO HIDRAULICO DA CONSTRUCAO CIVIL, INCLUSIVE ENCARGOS SOCIAIS;H;6336;5616;4752;864;1584;0.75;27.22;43116.48
1.2;20060;MAO-DE-OBRA DE ELETRICISTA DA CONSTRUCAO CIVIL, INCLUSIVE ENCARGOS SOCIAIS;H;12672;11232;9504;1728;3168;0.75;27.22;86232.96
1.3;20115;MAO-DE-OBRA DE PEDREIRO, INCLUSIVE ENCARGOS SOCIAIS;H;12672;11232;9504;1728;3168;0.75;27.22;86232.96
1.4;20131;MAO-DE-OBRA DE SERRALHEIRO DA CONSTRUCAO CIVIL, INCLUSIVE ENCARGOS SOCIAIS;H;2112;1872;1584;288;528;0.75;29.31;15475.68
1.5;20132;MAO-DE-OBRA DE SERVENTE DA CONSTRUCAO CIVIL, INCLUSIVE ENCARGOS SOCIAIS;H;38016;33696;28512;5184;9504;0.75;19.67;186943.68
3.1;03.001.0001-B;ESCAVACAO MANUAL DE VALA/CAVA EM MATERIAL DE 1ª CATEGORIA (A(AREIA, ARGILA OU PICARRA), ATE 1, 50M DE PROFUNDIDADE, EXCLUSIVE ESCORAMENTO E ESGOTAMENTO;M3;20;1002.3145;376.5714;625.7431;-356.5714;18.8286;68.93;-24578.47
3.2;03.010.0024-A;MATERIAL DE 1ª CATEGORIA PARA ATERROS, COMPREENDENDO:ESCAVACAO, CARGA, TRANSPORTE A 5KM EM CAMINHAO BASCULANTE E DESCARGA, CONSIDERANDO O VOLUME NECESSARIO A EXECUCAO DE 1, 00M3 DE MATERIAL COMPACTADO;M3;20;63.9575;19.256;44.7015;0.744;0.9628;25.02;18.61
3.3;03.009.0080-A;COMPACTACAO DE MATERIAL DE 1ªCATEGORIA, INCLUSIVE DESCARGA DECAMINHAO BASCULANTE, MOVIMENTACAO A 1 TIRO DE PA, ESPALHAMENTO E SOCAMENTO MANUAL EM CAMADAS DE 30CM DE MATERIAL APILOADO;M3;20;63.3295;18.746;44.5835;1.254;0.9373;53.06;66.54
3.4;03.011.0015-B;REATERRO DE VALA/CAVA COM MATERIAL DE BOA QUALIDADE, UTILIZANDO VIBRO COMPACTADOR PORTATIL, EXCLUSIVE MATERIAL;M3;20;65.1925;17.276;47.9165;2.724;0.8638;26.79;72.98
