medicao;periodo;valor_calculado;valor_resumo;diferenca
MED01;02/12/2025 a 31/12/2025;812763.43;;
MED02;02/01/2026 a 31/01/2026;1757911.82;;
MED03;02/02/2026 a 01/03/2026;847524.85;;
MED04;02/03/2026 a 01/04/2026;1025246.84;1025246.85;-0.01
MED05;02/04/2026 a 01/05/2026;1024046.96;1024046.97;-0.01
MED06;02/05/2026 a 01/06/2026;1026163.24;1026163.24;0.00
MED07;02/06/2026 a 01/07/2026;1130622.10;1130622.10;0.00
MED08;02/07/2026 a 01/08/2026;1755889.03;;
MED09;02/08/2026 a 01/09/2026;1473331.54;1473331.54;0.00
TOTAL_SOMA_PERIODOS;dez/25 a ago/26;10853499.81;;
TOTAL_ACUMULADO_OFICIAL_MED09;posicao 01/09/2026;10054305.95;;
